Platform,SPN,User Display Name,Display Types,TIME,Event,Config,Dependency,Access Level (Wintrac),Unit of Measurement,Event log when alarm code(s) set,Event Log When Parameter Changes?,Auto Log at Power ON?,Auto Log at Noon (12:05 PM)?,Additional Reqs,Documentation Notes
Railblazer,0x017F,Drive Operating State,Table Only,False,1.0,0.0,No Dependency,Engineering,,"763, 63",True,,,"Log Enumeration only - not descriptor , Event log whenever state changes or applicable alarm code is set. ","P.Carr 21st July 23 - removing alarms 17 and 20 from event log list, and replacing with alarm 763. "
AMT,0x017F,Drive State,Table Only,False,1.0,0.0,No Dependency,Technician,,"17, 20, 36, 63, 90, 266",True,0.0,0.0,,
Railblazer,0x0180,Drive Selection,Table Only,TRUE,1.0,0.0,No Dependency,User,,66,True,,,Event log whenever state changes or applicable alarm code is set. ,
Navigator,0x0180,Drive Selection,Table Only,True,1.0,0.0,No Dependency,User,,66,True,,,Event log whenever state changes or applicable alarm code is set. ,
AMT,0x0180,Drive Selection,Table Only,True,1.0,0.0,No Dependency,User,,66,True,0.0,0.0,,
Navigator,0x0181,Speed Request,Graph (stepped) and Table (continuous columns),True,0.0,0.0,No Dependency,Technician,,33,,,,,
AMT,0x0182,Fuel Level,Table Only,True,0.0,0.0,"FuelLvlSensConfig<0xF89B> is NOT ""NONE<0>""",Technician,,"44, 96, 98, 63",False,0.0,0.0,"Log to nearest 0.1% increment if possible, if not then nearest 1% increment",Bluebox to MAC fuel level
DEET,0x0182,Fuel Level (bluebox),Table Only,True,0.0,0.0,Fuel Level Sensor Type = Solid State or Float,Technician,,24:44; 24:96; 24:98,,,,"Log to nearest 0.1% increment if possible, if not then nearest 1% increment",Bluebox to MAC fuel level
Navigator,0x0182,Fuel Level (bluebox),Table Only,True,0.0,0.0,Fuel Level Sensor Type = Solid State or Float,Technician,,"44, 96, 98",,,,"Log to nearest 0.1% increment if possible, if not then nearest 1% increment",Bluebox to MAC fuel level
Railblazer,0x0182,Fuel Level (TKv5),Table Only,TRUE,0.0,0.0,Fuel Level Sensor Type = Solid State or Float,Technician,,"44, 96, 98",,,,"Log to nearest 0.1% increment if possible, if not then nearest 1% increment",Bluebox to MAC fuel level
AMT,0x0183,Door Status - Zone 1,Table Only,False,1.0,0.0,DoorSwitchConfigured<0xF89C> = ENABLE<1>,User,,108,True,1.0,0.0,,
Navigator,0x0183,Door 1,Table Only,False,1.0,0.0,{ SPN: DRSWC - Compartment Door Switch} configuration = Enabled,User,,108,True,,,Event log: log door status at start sequence and thereafter whenever door status changes,
Nebula-Galaxy,0x0183,Door Status,Table Only,False,1.0,0.0,DoorSwitchConfigured<0xF89C> = ENABLE<1>,User,,108,True,0.0,0.0,Event log: log door status at start sequence and thereafter whenever door status changes,
Nebula-Galaxy,0x0183,Door Status Zone 1,Table Only,False,1.0,0.0,DoorSwitchConfigured<0xF89C> = ENABLE<1>,User,,108,True,0.0,0.0,Event log: log door status at start sequence and thereafter whenever door status changes,
Railblazer,0x0183,Door 1,Table Only,False,1.0,0.0,{ SPN: DRSWC - Compartment Door Switch} configuration = Enabled,User,,108,True,,,Event log: log door status at start sequence and thereafter whenever door status changes,
Nebula-Galaxy,0x0184,Door Status Zone 2,Table Only,False,1.0,0.0,DoorSwitchConfigured<0xFA35> = ENABLE<1>,User,,108,True,0.0,0.0,Event log: log door status at start sequence and thereafter whenever door status changes,
AMT,0x0184,Door Status - Zone 2,Table Only,False,1.0,0.0,DoorSwitchConfiguredZ2<0xFA35> = ENABLE<1>,User,,108,True,1.0,0.0,,
DEET,0x0185,Door 3,Table Only,False,1.0,0.0,,User,,20:108,True,,,Event log: log door status at start sequence and thereafter whenever door status changes,
AMT,0x0185,Door Status - Zone 3,Table Only,False,1.0,0.0,DoorSwitchConfiguredZ3<0xFB83> = ENABLE<1>,User,,108,True,1.0,0.0,,
Railblazer,0x0186,Unit Serial Number,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,,,Event log whenever Unit Serial Number changes,
Navigator,0x0186,Unit Serial Number,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,,,Event log whenever Unit Serial Number changes,
Nebula-Galaxy,0x0186,Unit Serial Number,Header,False,1.0,1.0,,Technician,,,,0.0,0.0,,
DEET,0x0186,Unit Serial Number,Table Only,False,1.0,0.0,,Technician,,,False,,,Event log whenever Unit Serial Number changes,
AMT,0x018A,DCDC AC Firmware PN First,Table Only,False,1.0,0.0,No Dependency,Technician,,111,False,0.0,0.0,,
AMT,0x018B,DCDC AC Firmware PN Last,Table Only,False,1.0,0.0,No Dependency,Technician,,111,False,0.0,0.0,,
AMT,0x0192,Battery Operating State,Table Only,False,1.0,0.0,No Dependency,Technician,,"61, 159",True,0.0,0.0,,
Navigator,0x0192,Battery Operating State,Table Only,False,1.0,0.0,No Dependency,Engineering,,"61, 159",True,,,Event log whenever state changes or applicable alarm code is set. ,
Railblazer,0x0192,Battery Operating State,Table Only,False,1.0,0.0,No Dependency,Engineering,,"61, 159",True,,,Event log whenever state changes or applicable alarm code is set. ,
Navigator,0x0196,Condenser Fan 2 (Left),Graph and Table,True,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
AMT,0x0196,Condenser Left Fan Feedback,Graph and Table,True,0.0,0.0,No Dependency,Technician,Frequencies (RPM),"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 281, 282, 526, 555",False,0.0,0.0,,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Railblazer,0x0196,Condenser Left Fan Feedback,Graph and Table,TRUE,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
AMT,0x0197,Condenser Right Fan Feedback,Graph and Table,True,0.0,0.0,No Dependency,Technician,Frequencies (RPM),"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 281, 282, 526, 555",False,0.0,0.0,,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Navigator,0x0197,Condenser Fan 1 (Right),Graph and Table,True,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Railblazer,0x0197,Condenser Right Fan Feedback,Graph and Table,TRUE,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Railblazer,0x0198,Evaporator Fan 2 (Left),Graph and Table,TRUE,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
AMT,0x0198,Evaporator Left Fan Feedback - Zone 1,Graph and Table,True,0.0,0.0,No Dependency,Technician,Frequencies (RPM),"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 281, 282, 526, 555",False,0.0,0.0,,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Navigator,0x0198,Evaporator Fan 2 (Left),Graph and Table,True,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Railblazer,0x0199,Evaporator Fan 1 (Right),Graph and Table,TRUE,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
Navigator,0x0199,Evaporator Fan 1 (Right),Graph and Table,True,1.0,0.0,No Dependency,Technician,,"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 526, 555",,,,Event log only when applicable alarm code is set,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
AMT,0x0199,Evaporator Right Fan Feedback - Zone 1,Graph and Table,True,0.0,0.0,No Dependency,Technician,Frequencies (RPM),"56, 57, 58, 59, 264, 265, 267, 268, 273, 274, 275, 276, 277, 278, 281, 282, 526, 555",False,0.0,0.0,,"PC 13th Nov 20: changed ""ST Name"" to correct nomenclature as requested by field team. System requirement #298, FRACAS TBC"
DEET,0x0200,Roadside Condenser Fan Motor,Table Only,True,0.0,0.0,,User,,11:18; 102:604; 102:704; 2:10; 42:10,,,,,
Nebula-Galaxy,0x0200,Auxiliary Heater Contactor Output Zone 2,Table Only,True,0.0,0.0,,Technician,,317,,0.0,0.0,"When the high voltage is active in the unit, the Synergy will give 12V to this auxiliary circuit",
DEET,0x0201,Curbside Condenser Fan Motor,Table Only,True,0.0,0.0,,User,,11:18; 102:604; 102:704; 2:10; 42:10,,,,,
Nebula-Galaxy,0x0201,Auxiliary Heater Contactor Output Zone 1,Table Only,True,0.0,0.0,,Technician,,317,,0.0,0.0,"When the high voltage is active in the unit, the Synergy will give 12V to this auxiliary circuit",
DEET,0x0202,Evaporator Low Speed Fan Motor,Table Only,True,0.0,0.0,,User,,217:24; 13:26; 13:32; 219:46; ,,,,,
Nebula-Galaxy,0x0202,Evaporator Fan Relay Zone 1,Table Only,False,1.0,0.0,,Technician,,112,,0.0,0.0,,
DEET,0x0203,Evaporator High Speed Fan Motor,Table Only,True,0.0,0.0,,User,,217:24; 13:26; 13:32; 219:46; ,,,,,
Nebula-Galaxy,0x0203,Evaporator Fan Relay Zone 2,Table Only,False,1.0,0.0,,Technician,,112,,0.0,0.0,,
AMT,0x0205,Spare #1,Graph and Table,True,0.0,0.0,No Dependency,User,"Temperatures (◦C/◦F )
MT Zone 1",49,False,0.0,0.0,,"P.Carr 11th July 22: 
No dependency at production launch. 

Future Scope (post launch): allow ""spare sensor"" to be configurable as ""installed/not installed"" via HMI/wintrac. Dependency: only display this parameter in SW data log when Spare temp. sensor is configured as installed"
DEET,0x0205,Spare #1,Graph and Table,True,0.0,0.0,Spare 1 Temperature Sensor configuration = connected/enabled,User,,1:49,True,,,This parameter shall default not display. ,No Spare temp. sensor installed as default on Navi. Not initially supported at production launch. 
Navigator,0x0205,Spare #1,Graph and Table,True,0.0,0.0,Spare 1 Temperature Sensor configuration = connected/enabled,User,,49,,,,This parameter shall default not display. ,No Spare temp. sensor installed as default on Navi. Not initially supported at production launch. 
Nebula-Galaxy,0x0205,Evaporator Coil Temperature Zone 2,Table and Graph,True,0.0,0.0,,User,Temperatures (◦C/◦F )MT Zone 2,"2, 9",,0.0,0.0,,
DEET,0x0206,EngineStarterSolStatus,Table Only,False,1.0,0.0,,Technician,,,True,,,Log event: when starter output changes states,
Railblazer,0x0206,Engine Starter Solenoid Status,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,,,,,,"P.Carr 21st July 23 - this should be included in RB. 
RB team initially removed  - I am adding back. 
It is very helpful for AMT to confirm during start sequence that starter motor engaged and is used on RB. "
Railblazer,0x0209,Active Alarm,Graph and Table,FALSE ,1.0,0.0,No Dependency,User,,,,,,,
DEET,0x0209,Active Alarm,Table Only,True,0.0,0.0,,User,,,,,,,
DEET,0x0260,Compressor State,Table Only,True,0.0,0.0,,User,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,,,,,
DEET,0x028C,HGBV Duty Cycle,Table Only,True,0.0,0.0,,Technician,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,,,,,
DEET,0x028D,LIV Duty Cycle,Table Only,True,0.0,0.0,,Technician,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99; 42:236,,,,,
Nebula-Galaxy,0x02DE,Economizer Pressure,Table and Graph,True,0.0,0.0,,Technician,Pressures (PSI/Bar),88,,0.0,0.0,,
DEET,0x02DE,Economizer Pressure,Graph and Table,True,0.0,0.0,,Technician,,,,,,,
DEET,0x02E0,Battery Charger Input Frequency,Table Only,True,0.0,0.0,,Technician,,,,,,,
DEET,0x02E1,Battery Charger AC Input Voltage,Table Only,True,0.0,0.0,,Technician,,,,,,,
DEET,0x02EA,Battery Charger Status,Table Only,True,0.0,0.0,,Technician,,,,,,,
DEET,0x02FB,Economizer Bypass Valve Cmd,Table Only,True,0.0,0.0,,Technician,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99;,,,,,
Nebula-Galaxy,0x02FC,Economizer Liquid Line Solenoid Command,Table Only,False,1.0,0.0,,Technician,,"10,26,93,95",,0.0,0.0,EconLLS,
DEET,0x02FC,Economizer Liquid Line Solenoid Cmd,Table Only,True,0.0,0.0,,Technician,,2:10; 42:10; 13:26; 42:93; 42:95; 42:99;,,,,,
DEET,0x02FD,Heater1 Cmd,Table Only,True,0.0,0.0,,Technician,,217:24; 217:530: 217:531,,,,,
DEET,0x02FE,Heater2 Cmd,Table Only,True,0.0,0.0,,Technician,,217:24; 217:530: 217:531,,,,,
Nebula-Galaxy,0x02FF,Liquid Injection Valve Command,Table Only,False,1.0,0.0,,Technician,,121,,0.0,0.0,Liquid Injection Valve,
AMT,0x0310,Restart Attempts Counter Code10 FMI4,Table Only,False,1.0,0.0,No Dependency,Technician,,10,True,0.0,0.0,,8th Sept 22: Added by P.Carr to aid in diagnosis of code 10-4 probation duration suspect issues (following discussion/review with ETC Dev. Team on how to diagnose further and for potential field reported issues)
DEET,0x0350,RTC Current Time,Table Only,True,0.0,0.0,,User,,,,,,,
AMT,0x0356,Door Open Defrost - Zone 1,Table Only,False,1.0,0.0,No Dependency,User,,,True,0.0,0.0,,Event log which indicates defrost request
DEET,0x0360,Heater1 Duty Cycle,Table Only,True,0.0,0.0,,User,,217:24; 217:530: 217:531,,,,,
DEET,0x0361,Heater2 Duty Cycle,Table Only,True,0.0,0.0,,User,,217:24; 217:530: 217:531,,,,,
DEET,0x0380,Pretrip Status,Table Only,False,1.0,0.0,,User,,,,,,Log event when Pretrip Status is entered & exited/completed (more Pretrip status's may be logged if applicable),"For DEET, this tracks the running pretrip status only"
AMT,0x0380,Pretrip Status,Table Only,False,1.0,0.0,No Dependency,User,,28,True,0.0,0.0,,
Navigator,0x0380,Pretrip Status,Table Only,False,1.0,0.0,No Dependency,User,,,,,,Log event when Pretrip Status is entered & exited/completed (more Pretrip status's may be logged if applicable),
Nebula-Galaxy,0x0380,Pretrip Status,Table Only,False,1.0,0.0,,Technician,,28,,0.0,0.0,,
Railblazer,0x0380,Pretrip Status,Table Only,False,1.0,0.0,No Dependency,User,,,,,,Log event when Pretrip Status is entered & exited/completed (more Pretrip status's may be logged if applicable),
AMT,0x0387,Pretrip Test Step,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Nebula-Galaxy,0x0387,Pretrip Test Step,Table Only,False,1.0,0.0,Pretrip Status (0x0380) == True,Technician,,28,,0.0,0.0,,
Railblazer,0x0387,Pretrip Test Step,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
AMT,0x0397,Flashload Status,Table Only,False,1.0,0.0,No Dependency,Technician,,,True,0.0,0.0,,
Railblazer,0x0397,Flashload Status,Table Only,False,1.0,0.0,No Dependency,Technician,,,,,,,
Railblazer,0x03A3,Pilot Solenoid Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,52,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
Navigator,0x03A3,Pilot Solenoid Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,52,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
AMT,0x03A3,Hot Gas Solenoid Z1 Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,52,False,0.0,0.0,,
AMT,0x03A4,HGBV Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,45,False,0.0,0.0,,
DEET,0x03A4,HGBV Current Drawn,Table Only,False,1.0,0.0,,Technician,,10:45,,,,"Log on event based on the fault being set, as defined in column ""I""",
Navigator,0x03A4,HGBV Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,45,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
Nebula-Galaxy,0x03A4,Hot Gas Bypass Valve Current Drawn,Table and Graph,True,0.0,0.0,,Technician,,45,,0.0,0.0,,
Railblazer,0x03A4,HGBV Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,45,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
DEET,0x03A5,Fuel Solenoid Current Drawn,Table Only,False,1.0,0.0,,Technician,,24:529,,,,"Log on event based on the fault being set, as defined in column ""I""",
Railblazer,0x03A5,Fuel Solenoid Current Drawn,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,24:529,,,,,
Navigator,0x03A6,Engine Speed Solenoid Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,40,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
AMT,0x03A7,Intake Air Heater Current Drawn,Table Only,False,1.0,0.0,No Dependency,Technician,,15,False,0.0,0.0,,
DEET,0x03A7,Intake Air Heater Current Drawn,Table Only,False,1.0,0.0,,Technician,,102:816,,,,"Log on event based on the fault being set, as defined in column ""I""",
Navigator,0x03A7,Intake Air Heater Current Draw,Table Only,False,1.0,0.0,No Dependency,Technician,,15,,,,"Event log only when applicable alarm code is set
Units = Amps","DB - Added requirement on 28th July 2021
DB - Added additional Requirement for measurement to be logged in Amps (18th Nov 2021)"
Railblazer,0x03B3,Engine Operating State,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,"63, 763",,,,,P.Carr 21st July 23 - added alarm code 763 to list of alarm codes to event log parameter when alarm is set.
DEET,0x03B3,Engine Operating State,Table Only,True,0.0,0.0,,Technician,,102:63,,,,,
Railblazer,0x03B5,ECU Engine Oil Level Switch,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,"19, 31, 63, 66",,,,,"P.Carr 24th July 23 - added alarm code 19, 31, 63, 66  to list of alarm codes to event log parameter when alarm is set. "
DEET,0x03B5,ECU Engine Oil Level Switch,Table Only,True,0.0,0.0,,Technician,,,,,,,
Railblazer,0x03B6,ECU Engine Oil Pressure Switch,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,"19, 31",,,,Log when applicable alarm code is set,"P.Carr 21st July 23 - added alarm code 19 to list of alarm codes to event log parameter when alarm is set. This parameter is only truly needed to log when alarms are set (refer to ""additional reqs"")"
DEET,0x03B6,ECU Engine Oil Pressure Switch,Table Only,True,0.0,0.0,,Technician,,,,,,,
Nebula-Galaxy,0x03B7,Heater Contactor Feedback Zone 2,Table Only,True,0.0,0.0,,Technician,,317,,0.0,0.0,,
Nebula-Galaxy,0x03B8,Heater Contactor Feedback Zone 1,Table Only,True,0.0,0.0,,Technician,,317,,0.0,0.0,,
Nebula-Galaxy,0x03C4,Active Control Mode,Table Only,False,1.0,0.0,,Technician,,,,0.0,0.0,,
DEET,0x042B,Engine Ambient Air Temperature,Table Only,True,0.0,0.0,,Technician,,,,,,,
DEET,0x042E,Barometric Pressure,Table Only,True,0.0,0.0,,Technician,,,,,,,
Railblazer,0x042F,Barometric Pressure,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,Not available,,,,,
DEET,0x0430,Fuel Temperature,Table Only,True,0.0,0.0,,Technician,,102:607; 102:707,,,,,
Railblazer,0x0430,Fuel Temperature,Table Only,FALSE ,1.0,0.0,No Dependency,Technician,,102:607; 102:707,,,,,
DEET,0x0432,Engine Starter Mode,Table Only,False,1.0,0.0,,Technician,,,True,,,"Event log: when value changes, log new value",comes from ECU
